('python3', 'planner.py', '--mdp', 'data/mdp/test_c1.txt', '--algorithm', 'vi')
Calculating error of your value function...
  2.498418   2.498418   0.000000	OK
  2.741456   2.741456   0.000000	OK
  2.632244   2.632244   0.000000	OK
  2.589270   2.589270   0.000000	OK
  2.610762   2.610762   0.000000	OK
  2.666235   2.666235   0.000000	OK
  2.513505   2.513505   0.000000	OK
  2.488460   2.488460   0.000000	OK
  2.714831   2.714831   0.000000	OK
  2.707239   2.707239   0.000000	OK
  2.625969   2.625969   0.000000	OK
  2.769332   2.769332   0.000000	OK
  2.658597   2.658597   0.000000	OK
  2.760589   2.760589   0.000000	OK
  2.683311   2.683311   0.000000	OK
  2.569567   2.569567   0.000000	OK
  2.444578   2.444578   0.000000	OK
  2.655617   2.655617   0.000000	OK
  2.671438   2.671438   0.000000	OK
  2.519403   2.519403   0.000000	OK
  2.600026   2.600026   0.000000	OK
  2.627342   2.627342   0.000000	OK
  2.669516   2.669516   0.000000	OK
  2.547584   2.547584   0.000000	OK
  2.619254   2.619254   0.000000	OK
  2.693884   2.693884   0.000000	OK
  2.502086   2.502086   0.000000	OK
  2.580667   2.580667   0.000000	OK
  2.626573   2.626573   0.000000	OK
  2.498607   2.498607   0.000000	OK
  2.610892   2.610892   0.000000	OK
  2.723860   2.723860   0.000000	OK
  2.742998   2.742998   0.000000	OK
  2.683968   2.683968   0.000000	OK
  2.702419   2.702419   0.000000	OK
  2.642939   2.642939   0.000000	OK
  2.656261   2.656261   0.000000	OK
  2.636065   2.636065   0.000000	OK
  2.675927   2.675927   0.000000	OK
  2.651235   2.651235   0.000000	OK
  2.678507   2.678507   0.000000	OK
  2.701734   2.701734   0.000000	OK
  2.715293   2.715293   0.000000	OK
  2.732755   2.732755   0.000000	OK
  2.652107   2.652107   0.000000	OK
  2.608004   2.608004   0.000000	OK
  2.556083   2.556083   0.000000	OK
  2.724490   2.724490   0.000000	OK
  2.578252   2.578252   0.000000	OK
  2.617901   2.617901   0.000000	OK
  2.545224   2.545224   0.000000	OK
  2.649931   2.649931   0.000000	OK
  2.698973   2.698973   0.000000	OK
  2.676261   2.676261   0.000000	OK
  2.643851   2.643851   0.000000	OK
  2.635918   2.635918   0.000000	OK
  2.637081   2.637081   0.000000	OK
  2.315682   2.315682   0.000000	OK
  2.678536   2.678536   0.000000	OK
  2.592744   2.592744   0.000000	OK
